iter	Passed	Remaining
0	3	541
1	6	452
2	7	391
3	11	404
4	14	411
5	18	437
6	20	419
7	22	405
8	25	397
9	28	399
10	31	402
11	34	394
12	36	386
13	38	376
14	40	368
15	43	360
16	45	354
17	47	349
18	49	341
19	52	339
20	54	331
21	56	331
22	59	326
23	61	324
24	64	322
25	66	319
26	69	316
27	71	309
28	73	306
29	76	304
30	78	300
31	80	295
32	82	293
33	85	291
34	88	290
35	90	287
36	92	282
37	95	280
38	97	277
39	99	274
40	101	269
41	104	267
42	106	264
43	109	263
44	111	260
45	113	257
46	117	256
47	120	255
48	122	252
49	125	250
50	130	253
51	133	251
52	134	246
53	137	244
54	138	239
55	140	236
56	143	234
57	146	232
58	148	229
59	150	226
60	153	223
61	154	219
62	157	217
63	160	215
64	162	213
65	164	209
66	166	206
67	169	204
68	172	201
69	174	199
70	177	197
71	180	195
72	183	193
73	186	192
74	190	190
75	192	187
76	195	185
77	197	182
78	200	180
79	203	177
80	206	175
81	209	173
82	210	170
83	213	167
84	215	164
85	217	162
86	220	159
87	222	157
88	225	154
89	227	151
90	229	148
91	230	145
92	233	142
93	235	140
94	238	137
95	239	134
96	242	132
97	245	130
98	247	127
99	249	124
100	251	122
101	254	119
102	256	116
103	258	114
104	260	111
105	262	109
106	265	106
107	267	103
108	269	101
109	271	98
110	274	96
111	276	93
112	279	91
113	281	88
114	283	86
115	285	83
116	287	81
117	289	78
118	292	76
119	294	73
120	295	70
121	297	68
122	299	65
123	301	63
124	303	60
125	305	58
126	308	55
127	310	53
128	312	50
129	314	48
130	316	45
131	318	43
132	321	41
133	323	38
134	326	36
135	328	33
136	330	31
137	332	28
138	335	26
139	337	24
140	339	21
141	341	19
142	343	16
143	345	14
144	347	11
145	349	9
146	351	7
147	354	4
148	355	2
149	357	0
