run_id,selected_features,num_features,accuracy,time_seconds,feature_mask
1,"12,22,23,24,25,26,28,29,30",9,0.8737795782764934,140.2515950202942,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0"
2,"22,23,24,25,26,27,30",7,0.8958861617736795,135.28561091423035,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0"
3,"22,23,24,25,26,27",6,0.9081090243406333,138.61174201965332,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0"
4,"7,22,23,24,25,26,30,31",8,0.8766916401111938,138.1612467765808,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1"
5,"13,22,23,24,25,26,28",7,0.8883110719370805,138.24380016326904,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0"
6,"4,16,22,23,24,25,26,27",8,0.8749423689741678,134.89958119392395,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0"
7,"14,22,23,24,25,26,29",7,0.8941436707573395,135.8555269241333,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0"
8,"5,22,23,24,25,26",6,0.9005474947454065,144.53252291679382,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0"
9,"22,23,24,25,26,27",6,0.9081090243406333,139.5677409172058,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0"
10,"9,11,22,23,24,25,26",7,0.8842514746762491,136.54709672927856,"0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0"
