run_id,num_features,cv_accuracy,selected_features,feature_mask,time_seconds,KNN_recall,KNN_f1,KNN_auc,SVM_recall,SVM_f1,SVM_auc,Naive Bayes_recall,Naive Bayes_f1,Naive Bayes_auc,Random Forest_recall,Random Forest_f1,Random Forest_auc,Gradient Boosting_recall,Gradient Boosting_f1,Gradient Boosting_auc,XGBoost_recall,XGBoost_f1,XGBoost_auc,LightGBM_recall,LightGBM_f1,LightGBM_auc
1,7,0.8253826906793771,"6,19,22,23,24,25,26","0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0",154.89458107948303,0.850553767512306,0.8320112785147691,0.8966892275653162,0.881436955698599,0.8729277606197742,0.9328379401741765,0.8325681560015146,0.8095200713248364,0.8975530102234002,0.9350388110564181,0.9318097721706342,0.947557743279061,0.9353464596743657,0.934050635898162,0.953403067020068,0.9422330556607346,0.9415743612464924,0.9514861794774707,0.9155622870124953,0.9075703969651021,0.9482203710715638
2,7,0.8306333304792076,"10,11,22,23,24,25,26","0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0",149.58461570739746,0.8703379401741764,0.8570740876581697,0.9141187050359711,0.8778398333964408,0.8682803622723516,0.9315363498674745,0.7901126467247255,0.7770256024525475,0.8620077622112835,0.9278445664521016,0.9221428529708956,0.9416414237031427,0.9332402499053389,0.929384164222874,0.9487646724725483,0.9404344945096554,0.9391236639059957,0.9465992995077621,0.9242474441499433,0.9173438182612494,0.9404108292313518
3,6,0.8415417986699774,"22,23,24,25,26,28","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0",152.29798984527588,0.8739350624763347,0.8616759725190137,0.9132194244604317,0.8778398333964408,0.8682803622723516,0.9348021582733813,0.7816878076486179,0.7612973045716305,0.8606588413479742,0.9299507762211283,0.9267586441832737,0.9390737410071943,0.9368373722074972,0.9342414831545267,0.9491906474820144,0.9440316168118137,0.9440316168118137,0.9476760696705793,0.9224488829988641,0.9149525316455696,0.9391802347595607
4,7,0.8354301643024993,"9,22,23,24,25,26,29","0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0",148.6278018951416,0.8442824687618327,0.8286696568839507,0.9080958917076865,0.8655575539568345,0.8540905823148814,0.9247207497160167,0.7592294585384325,0.7381139961222768,0.8371592199924272,0.9332402499053389,0.929384164222874,0.9440552820901174,0.9194670579326013,0.9144909227026016,0.9465164710336994,0.9404344945096554,0.9391236639059957,0.9483978606588415,0.9143790230973117,0.9094609769792251,0.9412391139719802
5,6,0.8445985672289295,"15,22,23,24,25,26","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0",147.5657880306244,0.8754259750094662,0.862002567394095,0.915219140477092,0.881436955698599,0.8729277606197742,0.932932601287391,0.8041461567588035,0.784606725763332,0.8801353653918971,0.9260460053010224,0.9197405566832318,0.9411207875804619,0.9368373722074972,0.9342414831545267,0.9488120030291557,0.9440316168118137,0.9440316168118137,0.9477943960620977,0.9278445664521016,0.9221428529708956,0.9397718667171525
6,6,0.8463414866189076,"19,22,23,24,25,26","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0",145.71141982078552,0.861037485800833,0.8436932024718284,0.9122609806891329,0.8919206739871262,0.8849357781087118,0.9377366527830369,0.8289710336993563,0.8050476046546773,0.8978843241196517,0.9404344945096554,0.9391236639059957,0.9439961188943582,0.9368373722074972,0.9342414831545267,0.9493326391518365,0.9440316168118137,0.9440316168118137,0.9483860280196895,0.9209579704657327,0.9147243414759338,0.9441499432033321
7,6,0.8432913776864457,"7,22,23,24,25,26","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0",159.25390315055847,0.8511690647482014,0.835832036970557,0.9118705035971223,0.8898144642180992,0.8805555555555555,0.93981919727376,0.8343667171525937,0.8117591594827587,0.8970087088224158,0.9350388110564181,0.9318097721706342,0.9450018932222642,0.9227565316168118,0.9171198112270824,0.952042313517607,0.9386359333585763,0.936679409321969,0.9499834343051875,0.9017890950397577,0.8928606609147115,0.9429666792881484
8,8,0.8332496123146008,"15,18,19,22,23,24,25,26","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0",159.4609088897705,0.8343667171525937,0.8117591594827587,0.8947131768269596,0.8625757288905718,0.8533687051711083,0.9291579893979552,0.807435630443014,0.7872292571017296,0.8802063612268081,0.9350388110564181,0.9318097721706342,0.9392157326770163,0.9296431276031807,0.9245508141493544,0.9486700113593336,0.9386359333585763,0.936679409321969,0.9477115675880349,0.9224488829988641,0.9149525316455696,0.945380537675123
9,5,0.8559427652671937,"22,23,24,25,26","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0",162.17051005363464,0.8841111321469141,0.8715562601962271,0.9251703900037864,0.9020967436577054,0.8949413626209978,0.9406711472926921,0.8289710336993563,0.8050476046546773,0.8971270352139341,0.9296431276031807,0.9245508141493544,0.9455106967057934,0.9350388110564181,0.9318097721706342,0.9522671336614918,0.9458301779628928,0.9464955472207903,0.9501135933358577,0.9278445664521016,0.9221428529708956,0.9408368042408178
10,6,0.8428451827116096,"22,23,24,25,26,30","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0",160.8051779270172,0.8700302915562287,0.8551105374673756,0.9166272245361606,0.8844187807648618,0.8735665980593943,0.9379023097311625,0.807435630443014,0.7872292571017296,0.8897198031048845,0.9242474441499433,0.9173438182612494,0.9427063612268082,0.9332402499053389,0.929384164222874,0.9528587656190837,0.9458301779628928,0.9464955472207903,0.9496047898523287,0.920650321847785,0.9125665917237453,0.9433453237410072
